timestamp,cpu_percent,rss_mb
1785750947.315,4.00,49.95
1785750949.317,3.00,49.95
1785750951.318,4.00,49.95
1785750953.320,3.00,49.95
1785750955.322,4.50,49.95
1785750957.324,3.00,49.95
1785750959.325,3.50,49.95
1785750961.328,4.00,49.95
1785750963.329,3.00,49.95
1785750965.332,3.00,49.95
1785750967.333,3.00,49.95
1785750969.336,4.00,49.95
1785750971.337,3.00,49.95
1785750973.340,4.00,49.95
1785750975.341,3.00,49.95
1785750977.344,3.50,49.95
1785750979.345,3.50,49.95
1785750981.346,4.50,49.95
1785750983.348,3.00,49.95
1785750985.349,4.00,49.95
1785750987.352,3.50,49.95
1785750989.353,4.00,49.95
1785750991.356,3.50,49.95
1785750993.357,4.00,49.95
1785750995.360,3.00,49.95
1785750997.362,4.00,49.95
1785750999.364,3.50,49.95
1785751001.365,4.00,49.95
1785751003.368,3.50,49.95
1785751005.369,4.00,49.95
1785751007.371,3.50,49.95
1785751009.373,2.00,49.95
1785751011.375,2.50,49.95
1785751013.378,3.50,49.95
1785751015.380,3.00,49.95
1785751017.381,3.00,49.95
1785751019.384,19.00,49.95
1785751021.385,3.50,49.95
1785751023.388,4.00,49.95
1785751025.389,2.00,49.95
1785751027.392,3.50,49.95
1785751029.393,3.50,49.95
1785751031.396,2.50,49.95
1785751033.397,3.00,49.95
1785751035.399,3.50,49.95
1785751037.401,4.00,49.95
1785751039.404,4.50,49.95
1785751041.405,3.00,49.95
1785751043.408,3.50,49.95
1785751045.409,3.00,49.95
1785751047.412,4.00,49.95
1785751049.414,3.50,49.95
1785751051.416,4.00,49.95
1785751053.417,3.00,49.95
1785751055.420,4.00,49.95
1785751057.421,2.50,49.95
1785751059.424,4.00,49.95
1785751061.425,2.50,49.95
1785751063.428,3.50,49.95
1785751065.429,3.00,49.95
1785751067.432,10.50,50.88
1785751069.433,3.00,50.88
1785751071.436,2.50,50.88
1785751073.437,4.00,50.88
1785751075.440,3.00,50.88
1785751077.441,2.00,50.88
1785751079.444,1.00,50.88
